"filename", "language", "JSON", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\summary-table\styles.ts", "TypeScript", 0, 0, 17, 0, 2, 19
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\summary-table\table.tsx", "TypeScript JSX", 0, 97, 0, 0, 16, 113
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supplier-table\form-modal.tsx", "TypeScript JSX", 0, 72, 0, 41, 12, 125
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supplier-table\index.tsx", "TypeScript JSX", 0, 59, 0, 1, 8, 68
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supplier-table\styles.ts", "TypeScript", 0, 0, 44, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supplier-table\table.tsx", "TypeScript JSX", 0, 209, 0, 13, 20, 242
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\add\customer-form.tsx", "TypeScript JSX", 0, 90, 0, 0, 11, 101
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\add\index.tsx", "TypeScript JSX", 0, 144, 0, 0, 16, 160
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\add\invoice-form.tsx", "TypeScript JSX", 0, 200, 0, 1, 19, 220
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\add\styles.ts", "TypeScript", 0, 0, 89, 0, 6, 95
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\add\table.tsx", "TypeScript JSX", 0, 154, 0, 0, 16, 170
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\credit\index.tsx", "TypeScript JSX", 0, 80, 0, 0, 9, 89
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\credit\styles.ts", "TypeScript", 0, 0, 75, 0, 12, 87
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\credit\table.tsx", "TypeScript JSX", 0, 240, 0, 57, 29, 326
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\index.tsx", "TypeScript JSX", 0, 51, 0, 0, 7, 58
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\styles.ts", "TypeScript", 0, 0, 75, 0, 12, 87
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\table.tsx", "TypeScript JSX", 0, 289, 0, 60, 32, 381
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\view\index.tsx", "TypeScript JSX", 0, 58, 0, 0, 8, 66
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\view\styles.ts", "TypeScript", 0, 0, 84, 5, 6, 95
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\view\supplier-form.tsx", "TypeScript JSX", 0, 35, 0, 0, 6, 41
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\supply-table\view\table.tsx", "TypeScript JSX", 0, 140, 0, 0, 13, 153
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\user-table\form-modal.tsx", "TypeScript JSX", 0, 89, 0, 41, 13, 143
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\user-table\index.tsx", "TypeScript JSX", 0, 65, 0, 0, 8, 73
