"filename", "language", "Properties", "JSON with Comments", "JSON", "HTML", "Markdown", "SVG", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\transfer\queries\getTransfersByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 8, 42
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\urls.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\createUser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\login.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\updateUser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\updateUserPassword.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\queries\getAllUsers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\queries\getAllVansales.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getClosingStock.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getInStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getInvoiceRecords.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getOutStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\helpers\conver-title.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 2, 28
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\layout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\message.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\nav-links.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 166, 0, 0, 10, 176
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\status.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\contexts\auth-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 14, 88
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\store\useMessage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\account\components\login-form\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 7, 62
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\account\components\login-form\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\account\templates\login-template.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 6, 50
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\dashboard\table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 0, 6, 98
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\error\components\error-conatiner\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 3, 25
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\error\components\error-conatiner\styles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 7, 40
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\error\templates\error-template.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-header\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-header\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-item\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 7, 81
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-item\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 7, 49
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-body\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 6, 38
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-body\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-container\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 5, 4, 39
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-container\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-footer\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 5, 39
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-footer\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 4, 24
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\templates\nav\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\form-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 41, 9, 90
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 8, 67
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 208, 13, 19, 240
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\closing-stocks\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 7, 52
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\closing-stocks\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\closing-stocks\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 177, 16, 18, 211
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\in-stocks\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 8, 65
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\in-stocks\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\in-stocks\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 269, 8, 25, 302
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\out-stocks\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 61, 0, 8, 69
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\out-stocks\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\out-stocks\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 269, 8, 25, 302
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\form-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 41, 10, 138
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 1, 8, 66
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 233, 13, 23, 269
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\customer-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 94, 1, 12, 107
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 138, 0, 16, 154
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\invoice-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 151, 1, 17, 169
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 89, 0, 0, 6, 95
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 123, 0, 18, 141
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 7, 55
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 57, 0, 0, 10, 67
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 268, 52, 26, 346
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\expense-table\form-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 76, 41, 11, 128
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\expense-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 78, 1, 10, 89
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\expense-table\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 48
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\expense-table\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 277, 13, 27, 317
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\form-modal\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 4, 14, 128
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\form-modal\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\customer-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 1, 13, 130
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 179, 0, 19, 198
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\invoice-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 209, 1, 20, 230
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 89, 0, 0, 6, 95
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\add\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 179, 0, 18, 197
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\credit\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 9, 86
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\credit\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 75, 0, 0, 12, 87
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\credit\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 242, 57, 29, 328
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 7, 55
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 75, 0, 0, 12, 87
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 278, 65, 32, 375
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\view\customer-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 47, 0, 5, 52
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\view\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 66, 0, 8, 74
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\view\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 84, 0, 5, 6, 95
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\invoice-table\view\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 147, 0, 14, 161
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\form-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 45, 13, 145
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 68, 0, 8, 76
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\price-form-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 80, 1, 9, 90
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 1, 48
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\item-table\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 269, 8, 24, 301
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\pos-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 229, 0, 20, 249
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\pos-table\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 2, 1, 9
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\closing-stocks\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 9, 62
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\closing-stocks\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\closing-stocks\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 182, 16, 18, 216
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\in-stocks\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 63, 0, 9, 72
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\salesman-table\in-stocks\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 10, 61
